NAME,CLAN_GAMES,CLAN_MEMBERS
Deepthought,80,"WallyZZZ,CasteelG,matrixblue,SnotRag,Solo123024,Bearded,Nirnaeth,JustTurrble,espynn,HiTech,Kuja666,Jarv10k,afro,DeadlyCrane,TheProfessor,NotaDJ,Jaydu,theUnderLoaf,Gjallarhorn,DiffEngine,a1z0rz,KJC,PAKMAN,MrSloth"
Berix,79,"KJC,Vaa0007,NotaDJ,a1z0rz,KingCraigers,Kuja666,Nirnaeth,BigginsCP1,Jarv10k,HiTech,espynn,MTheyer,AIBox,ferenz,PatchMavTV,theUnderLoaf,CrimsnStrife,PAKMAN,Bearded,zachIsBad,Evilaizen,matrixblue"
Jaydu,77,"PAKMAN,MTheyer,EkunSaruoy,a1z0rz,Wonderdog,Bearded,Errata,Kuja666,KJC,espynn,DiffEngine,Flyingmac,CrimsnStrife,Violinplaya,kryptea,NotaDJ,Deepthought,Trogdor"
Live55,76,"NotaDJ,Nirnaeth,Jarv10k,Errata,Kuja666,KJC,ferenz,Vertiical,DiffEngine,PAKMAN,TheCowboy,Bearded"
HiTech,72,"Berix,Jarv10k,espynn,MTheyer,AIBox,JustTurrble,droid008,matrixblue,Deepthought,Kuja666,PatchMavTV,Bearded,DiffEngine,Evilaizen,Dmaxspeedz,afro,a1z0rz,Einherjar,DeadlyCrane,TheCowboy,Solo123024"
MrSloth,69,"WallyZZZ,Cronotorious,Bearded,Jarv10k,PAKMAN,Deepthought,Solo123024,Vaa0007,theUnderLoaf,XT1NCT10N,DiffEngine,NotaDJ,Jukebox,TheCowboy,ferenz,KingCraigers,FatBassKiten"
baz2sga,66,"NotaDJ,FTFMike,Solo123024,WallyZZZ,DiffEngine,MTheyer,JustTurrble,felipeck,Waffles,Jarv10k,Hedbutter,Nirnaeth,Vaa0007"
EkunSaruoy,61,"Danjer,afro,PatchMavTV,Errata,Solo123024,NotaDJ,FTFMike,MTheyer,Vaa0007,Nirnaeth,matrixblue,a1z0rz,Jaydu,JustTurrble,kryptea,HotlineBlizz,legendary10,TheCowboy"
HotlineBlizz,60,"legendary10,Solo123024,TheCowboy,EkunSaruoy,Violinplaya,Hebel,zachIsBad,NotaDJ,KJC,MTheyer,kryptea,Jarv10k,PAKMAN,WallyZZZ,afro,JustTurrble,skootz,Asakura,theUnderLoaf"
Darkstar,58,"Flyingmac,ferenz,a1z0rz,zachIsBad,TheCowboy,NotaDJ,Vaa0007,FTFMike,Solo123024,SnotRag,Nirnaeth,afro,actnuevo,CrimsnStrife"
FTFMike,55,"EkunSaruoy,MTheyer,Solo123024,NotaDJ,baz2sga,PatchMavTV,afro,a1z0rz,Nirnaeth,Errata,Trogdor,Vaa0007,SnotRag,Darkstar,ferenz,DiffEngine,TheCowboy"
Flyingmac,53,"Vaa0007,Jarv10k,a1z0rz,theUnderLoaf,NotaDJ,Evilaizen,KJC,ferenz,Darkstar,TheCowboy,Jaydu,Errata,CrimsnStrife,Nirnaeth,matrixblue,DiffEngine,Bearded,PatchMavTV"
Asakura,48,"skootz,zachIsBad,JustTurrble,theUnderLoaf,HotlineBlizz"
